Joint_One Joint_Two Joint_Three Joint_Four Joint_Five Joint_Six
-49.6533 -31.7602 -48.6706 -119.249 -66.9354 85.7474  
 -49.6533 -32.2919 -50.001 -119.923 -67.8529 87.5021  
 -49.6533 -32.7205 -51.5159 -120.591 -68.831 89.3095  
 -49.6533 -33.0354 -53.2351 -121.25 -69.8754 91.1746  
 -49.6533 -33.2236 -55.1825 -121.898 -70.9921 93.1064  
 -49.6533 -33.2659 -57.3954 -122.535 -72.1926 95.1184  
 -49.6532 -33.1351 -59.9269 -123.16 -73.4929 97.2302  
 -49.6532 -32.7914 -62.8551 -123.774 -74.9157 99.4721  
 -49.6532 -32.1694 -66.31 -124.377 -76.4994 101.895  
 -49.653 -30.8617 -71.0885 -124.974 -78.4785 104.802  
 -49.6547 -28.8533 -77.2479 -125.582 -80.8614 108.278  
 -48.8331 -34.2773 -67.0774 -125.131 -77.5132 104.787  
 -47.9832 -38.0492 -60.2238 -124.785 -75.0905 102.655  
 -47.1034 -41.2386 -54.5474 -124.44 -72.8793 101.051  
 -46.1972 -43.9416 -49.8443 -124.135 -71.0132 99.8732  
 -45.2585 -46.3792 -45.6848 -123.855 -69.2743 98.9185  
 -44.3035 -48.6803 -41.8044 -123.607 -67.641 98.0632  
 -43.2819 -50.6944 -38.5139 -123.352 -66.045 97.5206  
 -42.2619 -52.6849 -35.2662 -123.125 -64.5301 96.9858  
 -41.169 -54.4721 -32.4419 -122.919 -63.0297 96.6664  
 -40.0785 -56.247 -29.6355 -122.722 -61.5731 96.3648  
 -38.93 -57.888 -27.1087 -122.566 -60.1428 96.1928  
 -37.7439 -59.4716 -24.6928 -122.402 -58.6762 96.129  
 -36.5196 -60.965 -22.4559 -122.283 -57.2596 96.1563  
 -35.2546 -62.3928 -20.3494 -122.196 -55.8419 96.2633  
 -33.9485 -63.7616 -18.355 -122.131 -54.4074 96.4594  
 -32.6015 -65.0645 -16.4846 -122.104 -52.9776 96.7429  
 -31.2126 -66.3056 -14.7283 -122.12 -51.5438 97.111  
 -29.7814 -67.4882 -13.0765 -122.177 -50.0972 97.567  
 -28.3082 -68.6103 -11.5297 -122.284 -48.6424 98.1134  
