Wheel	Crank	Slider
0	0	9
5	-0.596263	8.96593
10	-1.18805	8.86406
15	-1.77092	8.69541
20	-2.34049	8.46166
25	-2.89246	8.16512
30	-3.42265	7.80872
35	-3.92704	7.39593
40	-4.40179	6.93077
45	-4.84325	6.41767
50	-5.24803	5.8615
55	-5.61299	5.26743
60	-5.93531	4.64091
65	-6.21245	3.98757
70	-6.44225	3.31318
75	-6.6229	2.62355
80	-6.75296	1.92448
85	-6.83142	1.2217
90	-6.85765	0.520804
95	-6.83144	-0.172783
100	-6.753	-0.853868
105	-6.62295	-1.51752
110	-6.44233	-2.1591
115	-6.21254	-2.77427
120	-5.93542	-3.35903
125	-5.61312	-3.90973
130	-5.24817	-4.42303
135	-4.84341	-4.89596
140	-4.40196	-5.32587
145	-3.92723	-5.71042
150	-3.42284	-6.04762
155	-2.89266	-6.33574
160	-2.3407	-6.57336
165	-1.77114	-6.75935
170	-1.18827	-6.89283
175	-0.596485	-6.97317
180	-0.000223393	-7
185	0.59604	-6.97321
190	1.18783	-6.89291
195	1.7707	-6.75947
200	2.34028	-6.57352
205	2.89225	-6.33593
210	3.42246	-6.04785
215	3.92686	-5.71069
220	4.40162	-5.32617
225	4.84309	-4.8963
230	5.24789	-4.4234
235	5.61286	-3.91012
240	5.93519	-3.35946
245	6.21235	-2.77471
250	6.44217	-2.15957
255	6.62284	-1.51801
260	6.75293	-0.854372
265	6.83141	-0.173298
270	6.85765	0.520282
275	6.83146	1.22117
280	6.75304	1.92395
285	6.62301	2.62303
290	6.4424	3.31267
295	6.21264	3.98708
300	5.93553	4.64043
305	5.61325	5.26697
310	5.24832	5.86107
315	4.84357	6.41727
320	4.40213	6.9304
325	3.92741	7.39561
330	3.42304	7.80843
335	2.89286	8.16488
340	2.34091	8.46146
345	1.77135	8.69526
350	1.18849	8.86396
355	0.596708	8.96588
360	0.000446786	9
365	-0.595817	8.96598
370	-1.18761	8.86416
375	-1.77049	8.69556
380	-2.34007	8.46186
385	-2.89205	8.16537
390	-3.42226	7.80901
395	-3.92668	7.39626
400	-4.40145	6.93113
405	-4.84293	6.41807
410	-5.24774	5.86193
415	-5.61274	5.26789
420	-5.93508	4.64139
425	-6.21226	3.98807
430	-6.44209	3.31369
435	-6.62278	2.62407
440	-6.75289	1.925
445	-6.83139	1.22222
450	-6.85765	0.521327
455	-6.83148	-0.172267
460	-6.75308	-0.853364
465	-6.62307	-1.51703
470	-6.44248	-2.15862
475	-6.21273	-2.77382
480	-5.93564	-3.3586
485	-5.61338	-3.90933
490	-5.24846	-4.42266
495	-4.84373	-4.89562
500	-4.4023	-5.32556
505	-3.92759	-5.71015
510	-3.42323	-6.04738
515	-2.89306	-6.33554
520	-2.34112	-6.57321
525	-1.77157	-6.75923
530	-1.18871	-6.89275
535	-0.59693	-6.97313
540	-0.000670178	-7
545	0.595595	-6.97325
550	1.18739	-6.89299
555	1.77027	-6.75959
560	2.33986	-6.57368
565	2.89185	-6.33613
570	3.42207	-6.04808
575	3.92649	-5.71096
580	4.40127	-5.32648
585	4.84278	-4.89664
590	5.2476	-4.42377
595	5.61261	-3.91052
600	5.93497	-3.35988
605	6.21216	-2.77516
610	6.44202	-2.16004
615	6.62272	-1.5185
620	6.75285	-0.854876
625	6.83137	-0.173813
630	6.85765	0.519759
635	6.8315	1.22065
640	6.75312	1.92343
645	6.62313	2.62251
650	6.44256	3.31216
655	6.21283	3.98658
660	5.93575	4.63995
665	5.61351	5.26651
670	5.24861	5.86064
675	4.84388	6.41687
680	4.40248	6.93003
685	3.92778	7.39528
690	3.42342	7.80814
695	2.89327	8.16463
700	2.34133	8.46126
705	1.77178	8.69511
710	1.18893	8.86386
715	0.597153	8.96583
720	0.000893571	9
725	-0.595372	8.96603
730	-1.18717	8.86426
735	-1.77006	8.69571
740	-2.33965	8.46206
745	-2.89164	8.16561
750	-3.42187	7.80929
755	-3.92631	7.39659
760	-4.4011	6.9315
765	-4.84262	6.41847
770	-5.24745	5.86236
775	-5.61248	5.26834
780	-5.93486	4.64187
785	-6.21207	3.98857
790	-6.44194	3.31421
795	-6.62266	2.62459
800	-6.75281	1.92553
805	-6.83135	1.22275
810	-6.85765	0.521849
815	-6.83152	-0.171752
820	-6.75316	-0.85286
825	-6.62319	-1.51654
830	-6.44263	-2.15815
835	-6.21292	-2.77337
840	-5.93587	-3.35818
845	-5.61364	-3.90893
850	-5.24875	-4.42229
855	-4.84404	-4.89528
860	-4.40265	-5.32526
865	-3.92796	-5.70988
870	-3.42362	-6.04715
875	-2.89347	-6.33534
880	-2.34154	-6.57305
885	-1.772	-6.75911
890	-1.18915	-6.89267
895	-0.597375	-6.97309
900	-0.00111696	-7
905	0.59515	-6.97329
910	1.18695	-6.89307
915	1.76984	-6.75971
920	2.33944	-6.57384
